"Parent’s age (years)","Parent’s sex","Parent’s education level","Employment status","Family type","Your average household income per month (BDT)","Child’s sex","Child’s age (years)","Number of children","Who is the leading child caregiver at home?","Are grandparents at home involved in treatment decisions when your child is ill?","Antibiotic kills the bacteria(Yes)"," Amoxicillin is an antibiotic (Yes)"," Azithromycin is an antibiotic(Yes)"," Paracetamol is an antibiotic(No)"," Antibiotic kills the virus(No)"," Antibiotics used to treat diarrhoea(Yes)"," Antibiotics are useful for flu and cough(No)"," Antibiotic resistant bacteria are difficult to treat(Yes)"," Misuse of antibiotics can lead to antibiotic resistant bacteria(Yes)"," Antibiotics can cause allergic reactions(Yes)"," Antibiotics can kill normal flora(Yes)"," Infectious disease are becoming difficult to treat with antibiotics(Yes)"," I will see another doctor if the first one has not been prescribed antibiotics(Disagree)"," I am not satisfied if the doctor does not prescribe an antibiotic to me(Disagree)"," Antibiotics are safe and hence can be used commonly(Disagree)"," Sick child is given antibiotics, even there is no indication(Disagree)"," Antibiotics can improve fever in children(Disagree)","A child with cold is given antibiotics(Disagree)","I stop antibiotics when my child condition improves(Disagree)","I reusing the same antibiotics for similar symptoms(Disagree)","Leftover antibiotics are good to keep at home in case I might need them for my child later on(Disagree)","Doctors often take time to inform parents how antibiotics should be used for their children(Disagree)"," I give my children antibiotics(No)"," I check expiring date of antibiotic before giving to children(Yes)"," I seek medical advice before giving antibiotic to my children(Yes)"," I give my children antibiotics when they get cough(No)"," I like to take antibiotic from pharmacy instead of taking from doctor(No)"," My child should complete a given dose, even he improve after 2 dose(Yes)","Source(s) of information about antibiotics","Information provided by pharmaceutical companies leaflet","Information from prescribers","Information from dispensers","Information from nurses","Information given by a colleague","Information from University courses","Internet","Social media","Others...49","Why would you give your child antibiotics without a physician's advice? (You can choose more than one)","I thought that my child's condition was not severe enough","I didn't have enough time to visit a doctor","I didn't have enough money to pay for the hospital visit","Lack of hospitals in the nearest place","It is convenient to purchase antibiotics from retail pharmacies","Lack of trust in medical service","No confidence with doctor's medication","Easier to apply previous prescription","Suggestions from others","Knowledge of antibiotics","I don't give antibiotics without doctor's consultation","Others...62"
"> 45","Male","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Father","Often","Don't Know","Don't Know","Don't Know","Yes","Don't Know","No","Yes","Don't Know","Yes","No","Don't Know","Don't Know","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Yes","Yes","Yes","No","No","No","Information from prescribers  Others",0,1,0,0,0,0,0,0,1,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","Yes","No","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"36–45","Male","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Always","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Don't Know","Yes","No","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Yes","No","Yes","Yes","Yes","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"Knowledge of antibiotics",0,0,0,0,0,0,0,0,0,1,0,0
"36–45","Male","Postgraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never","Yes","Don't Know","Don't Know","Don't Know","Yes","Don't Know","Don't Know","Yes","Yes","Don't Know","Don't Know","Don't Know","Agree","Neutral","Agree","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Yes","Yes","Yes","Yes","Yes","Yes","Social media  Information from prescribers",0,1,0,0,0,0,0,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"36–45","Male","Postgraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never","Yes","Don't Know","Don't Know","No","Yes","Yes","Yes","Yes","Yes","No","Don't Know","No","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","No","No","Yes","No","Yes","No","Information provided by pharmaceutical companies leaflet  Social media",1,0,0,0,0,0,0,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Don't Know","No","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Yes","No","Yes","Yes","Yes","Yes","Information from prescribers",0,1,0,0,0,0,0,0,0,"It is convenient to purchase antibiotics from retail pharmacies Suggestions from others",0,0,0,0,1,0,0,0,1,0,0,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Mother","Never","Don't Know","Don't Know","Don't Know","No","Don't Know","Yes","Yes","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","No","Yes","No","Information from prescribers  Information provided by pharmaceutical companies leaflet",1,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","No","Yes","Yes","Yes","No","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"36–45","Male","Undergraduate","Self employed","Single parent family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never","Yes","Yes","Yes","No","Yes","Yes","Yes","Don't Know","Yes","No","No","No","Disagree","Disagree","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Yes","No","Yes","Yes","Yes","No","Information from prescribers  Internet  Social media",0,1,0,0,0,0,1,1,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never","Don't Know","No","No","No","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Agree","Disagree","Disagree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Neutral","Yes","No","Yes","Yes","Yes","No","Information from prescribers",0,1,0,0,0,0,0,0,0,"I don't give antibiotics without doctor's consultation",0,0,0,0,0,0,0,0,0,0,1,0
